episode,reward_total,reward_leader,reward_follower,timesteps,wall_time
130,-1657.01,-1306.56,-350.44,1000,778.3
131,-704.32,-522.57,-181.75,1000,788.5
132,-2105.28,-1561.69,-543.59,1000,798.8
133,-1250.19,-801.32,-448.86,1000,809.0
134,-1325.00,-854.98,-470.02,1000,819.3
135,-1140.01,-747.63,-392.38,1000,829.3
136,-1107.75,-728.98,-378.76,1000,839.9
137,-1310.64,-823.21,-487.43,1000,850.1
138,-1442.85,-896.57,-546.28,1000,860.6
139,-1220.36,-806.07,-414.29,1000,870.8
140,-1114.03,-744.07,-369.96,1000,881.0
141,-1658.55,-1076.16,-582.39,1000,891.2
142,-1050.84,-693.70,-357.14,1000,901.2
143,-1073.62,-707.26,-366.36,1000,911.4
144,-927.83,-643.15,-284.69,1000,921.5
145,-1024.27,-754.79,-269.49,1000,931.8
146,-817.30,-603.72,-213.58,1000,941.9
147,-862.87,-612.53,-250.34,1000,952.1
148,-948.37,-642.36,-306.01,1000,962.4
149,-856.41,-607.07,-249.34,1000,972.8
150,-1134.35,-849.03,-285.31,1000,983.2
151,-1348.68,-1044.27,-304.41,1000,993.1
152,-836.47,-600.02,-236.44,1000,1003.4
153,-828.84,-597.57,-231.28,1000,1013.7
154,-1005.75,-666.70,-339.05,1000,1024.0
155,-800.93,-563.02,-237.91,1000,1034.3
156,-1146.61,-900.48,-246.14,1000,1044.7
157,-1227.10,-969.59,-257.51,1000,1055.2
158,-798.06,-571.40,-226.66,1000,1065.5
159,-951.23,-692.99,-258.24,1000,1076.0
160,-663.04,-512.80,-150.24,1000,1086.4
161,-871.43,-696.58,-174.86,1000,1096.7
162,-603.78,-473.48,-130.31,1000,1107.0
163,-661.66,-523.99,-137.67,1000,1117.2
164,-778.29,-561.77,-216.51,1000,1127.5
165,-953.44,-743.00,-210.44,1000,1137.8
166,-1055.05,-731.43,-323.61,1000,1148.2
167,-895.60,-650.60,-245.00,1000,1158.6
168,-909.76,-649.59,-260.17,1000,1168.9
169,-777.74,-574.42,-203.32,1000,1179.0
170,-1062.63,-710.35,-352.28,1000,1189.4
171,-896.70,-633.76,-262.94,1000,1199.7
172,-1091.01,-732.08,-358.93,1000,1210.0
173,-1106.55,-766.73,-339.82,1000,1220.3
174,-1370.80,-1083.27,-287.52,1000,1230.5
175,-948.75,-661.74,-287.01,1000,1240.7
176,-971.49,-693.16,-278.34,1000,1251.0
177,-899.96,-637.32,-262.63,1000,1261.2
178,-819.96,-593.41,-226.55,1000,1271.6
179,-541.26,-461.24,-80.02,1000,1281.9
180,-704.18,-537.97,-166.21,1000,1292.2
181,-722.60,-545.44,-177.16,1000,1301.7
182,-522.50,-424.66,-97.84,1000,1311.1
183,-857.21,-672.63,-184.59,1000,1320.3
184,-1025.76,-732.60,-293.16,1000,1329.5
185,-880.24,-732.43,-147.81,1000,1338.9
186,-746.79,-532.77,-214.02,1000,1348.6
187,-607.70,-482.41,-125.29,1000,1358.2
188,-861.63,-656.15,-205.48,1000,1367.2
189,-722.02,-535.62,-186.40,1000,1376.7
190,-947.52,-755.75,-191.77,1000,1385.9
191,-772.59,-584.79,-187.80,1000,1395.2
192,-764.22,-579.88,-184.35,1000,1404.0
193,-595.86,-485.36,-110.50,1000,1412.6
194,-428.66,-358.98,-69.68,1000,1421.6
195,-913.36,-659.03,-254.33,1000,1431.1
196,-927.61,-696.37,-231.24,1000,1440.4
197,-915.75,-639.90,-275.85,1000,1450.0
198,-769.73,-563.84,-205.89,1000,1459.6
199,-2490.22,-2400.94,-89.29,975,1469.0
200,-511.57,-510.86,-0.71,16,1469.1
201,-2138.17,-1795.41,-342.76,1000,1478.5
202,-2396.98,-1946.34,-450.64,1000,1487.9
203,-2304.50,-1873.76,-430.74,1000,1497.2
204,-2356.29,-1820.93,-535.36,1000,1506.7
205,-2389.00,-1845.85,-543.15,1000,1516.1
206,-512.40,-509.21,-3.20,14,1516.2
207,-511.21,-509.17,-2.04,14,1516.3
208,-935.69,-615.73,-319.96,1000,1526.2
209,-1359.77,-773.91,-585.86,1000,1535.8
210,-1462.25,-971.87,-490.37,1000,1545.7
211,-991.72,-649.97,-341.75,1000,1555.2
212,-512.78,-509.96,-2.82,14,1555.3
213,-1833.71,-1275.68,-558.03,1000,1564.9
214,-1793.08,-1496.85,-296.23,1000,1574.1
215,-2160.64,-1771.51,-389.13,1000,1583.7
216,-2123.19,-1740.11,-383.07,1000,1592.9
