episode,reward_total,reward_leader,reward_follower,timesteps,wall_time
142,908.72,922.77,-14.05,94,653.9
143,976.93,983.32,-6.39,39,655.2
144,845.96,860.40,-14.44,129,659.6
145,985.41,988.60,-3.19,33,660.6
146,981.91,987.34,-5.43,31,661.6
147,862.96,893.84,-30.88,114,665.4
148,962.47,970.48,-8.01,46,666.9
149,931.54,945.56,-14.02,63,668.9
150,819.94,848.66,-28.73,104,672.2
151,-564.38,-556.02,-8.35,71,674.6
152,580.63,657.12,-76.49,408,688.1
153,-510.49,-507.73,-2.76,12,688.4
154,802.58,827.06,-24.48,157,693.4
155,848.66,863.61,-14.95,130,697.6
156,878.03,898.85,-20.81,128,701.7
157,960.70,969.60,-8.90,47,703.3
158,959.03,970.23,-11.20,68,705.5
159,920.38,931.67,-11.29,100,708.9
160,987.08,990.08,-3.00,34,710.0
161,930.37,947.19,-16.81,84,712.8
162,978.81,985.57,-6.76,37,714.0
163,967.56,978.39,-10.83,45,715.6
164,966.24,975.37,-9.13,56,717.5
165,-525.54,-520.32,-5.21,39,718.8
166,935.12,944.23,-9.11,90,721.7
167,879.70,900.49,-20.78,105,725.2
168,977.37,983.24,-5.87,46,726.8
169,988.51,991.52,-3.02,27,727.7
170,973.72,981.32,-7.60,47,729.2
171,969.94,975.34,-5.40,69,731.4
172,980.08,984.81,-4.74,47,733.0
173,977.95,983.29,-5.34,48,734.5
174,973.15,982.33,-9.17,39,735.8
175,928.79,951.52,-22.73,121,740.0
176,972.11,978.67,-6.55,53,741.7
177,974.41,979.76,-5.35,45,743.2
178,976.72,983.47,-6.75,39,744.4
179,976.00,981.41,-5.41,55,746.3
180,978.26,983.46,-5.19,55,748.0
181,952.77,966.24,-13.47,72,750.4
182,918.12,932.84,-14.71,134,754.6
183,977.73,983.38,-5.65,46,756.1
184,984.32,988.54,-4.22,33,757.1
185,886.35,901.17,-14.82,113,760.8
186,960.07,972.62,-12.54,59,762.8
187,-529.54,-524.80,-4.74,39,764.0
188,976.72,983.78,-7.05,39,765.4
189,977.71,984.18,-6.47,44,766.8
190,962.12,972.43,-10.31,59,768.7
191,976.34,982.94,-6.60,47,770.3
192,983.70,988.28,-4.57,34,771.4
193,981.30,987.27,-5.97,33,772.5
194,980.91,987.85,-6.94,32,773.5
195,966.22,975.03,-8.82,60,775.5
196,975.81,979.66,-3.85,43,777.0
197,979.67,985.20,-5.53,38,778.2
198,552.19,609.56,-57.36,283,787.7
199,980.87,984.53,-3.66,46,789.2
200,965.83,971.45,-5.61,64,791.4
201,970.99,977.06,-6.06,41,792.7
202,-515.25,-513.78,-1.47,13,793.2
203,927.08,939.13,-12.05,81,795.9
204,855.79,871.23,-15.44,131,800.2
205,984.25,987.35,-3.10,42,801.5
206,983.97,989.02,-5.05,27,802.4
207,-122.62,47.22,-169.84,552,820.4
208,984.14,989.23,-5.09,27,821.3
209,-538.83,-530.74,-8.09,54,823.1
210,-536.20,-531.49,-4.71,33,824.1
211,982.86,988.43,-5.57,30,825.2
212,980.19,987.13,-6.94,28,826.1
213,984.56,988.86,-4.30,32,827.1
214,952.74,959.88,-7.14,90,830.1
215,671.46,692.21,-20.74,237,837.8
216,989.27,991.65,-2.37,33,838.8
217,664.22,686.66,-22.44,272,847.5
218,974.81,983.77,-8.96,36,848.8
219,-515.00,-513.50,-1.51,17,849.3
220,973.98,978.67,-4.69,42,850.6
221,972.08,980.56,-8.48,50,852.3
222,918.70,923.34,-4.64,87,855.1
223,991.88,993.12,-1.24,27,856.0
224,985.53,989.81,-4.28,30,857.0
225,931.85,942.23,-10.38,61,858.9
226,-779.35,-748.24,-31.10,186,865.0
227,990.18,992.13,-1.95,29,865.9
228,970.20,974.81,-4.61,70,868.2
229,875.36,894.62,-19.26,94,871.2
230,983.99,987.73,-3.74,33,872.3
231,977.10,981.88,-4.78,56,874.2
232,996.27,994.43,1.84,33,875.3
233,979.77,986.32,-6.56,44,876.7
234,968.65,979.08,-10.44,83,879.4
235,-512.54,-511.51,-1.03,18,880.0
236,981.74,986.12,-4.38,41,881.3
237,974.67,983.38,-8.71,41,882.6
238,969.69,979.88,-10.19,48,884.2
239,971.59,977.50,-5.91,60,886.2
240,975.04,983.09,-8.05,45,887.7
241,1011.27,1001.39,9.88,41,889.1
242,986.87,989.67,-2.81,35,890.2
243,782.23,810.87,-28.64,131,894.5
244,982.23,986.21,-3.97,40,895.7
245,977.06,982.30,-5.24,44,897.1
246,980.74,985.35,-4.61,39,898.4
247,990.72,992.22,-1.50,29,899.4
248,976.46,982.66,-6.20,46,900.9
249,991.12,993.09,-1.97,29,901.8
250,-517.16,-514.47,-2.70,11,902.1
251,-562.94,-553.17,-9.77,48,903.7
