episode,reward_total,reward_leader,reward_follower,timesteps,wall_time
138,296.84,265.80,31.04,629,1001.4
139,-1261.04,-1148.88,-112.16,1000,1034.3
140,224.63,289.44,-64.80,650,1055.7
141,-1416.51,-1315.67,-100.85,751,1080.1
142,975.18,979.74,-4.57,43,1081.5
143,-1202.36,-1025.16,-177.19,542,1099.3
144,-1214.94,-1070.89,-144.06,1000,1131.7
145,597.41,714.63,-117.22,379,1143.9
146,936.20,941.47,-5.27,61,1145.9
147,967.64,972.25,-4.61,47,1147.4
148,-914.14,-870.53,-43.61,294,1156.9
149,-610.30,-601.59,-8.70,85,1159.6
150,931.86,940.74,-8.88,111,1163.2
151,334.08,392.29,-58.21,613,1183.3
152,963.28,970.67,-7.39,76,1185.7
153,949.70,957.65,-7.96,57,1187.5
154,879.49,908.70,-29.21,189,1193.7
155,-1204.39,-1130.71,-73.68,1000,1226.2
156,-1130.45,-1071.04,-59.41,390,1238.8
157,985.80,988.51,-2.71,37,1240.0
158,751.30,762.17,-10.87,206,1246.7
159,898.10,907.52,-9.41,118,1250.4
160,168.54,242.54,-74.00,532,1267.6
161,821.21,870.13,-48.92,342,1278.7
162,983.45,986.71,-3.27,41,1280.0
163,956.10,962.78,-6.68,81,1282.7
164,938.46,950.88,-12.42,103,1286.1
165,969.78,977.28,-7.50,56,1287.9
166,-515.15,-513.65,-1.50,21,1288.7
167,-712.42,-676.37,-36.04,246,1296.8
168,973.56,982.29,-8.73,44,1298.2
169,975.81,978.87,-3.06,40,1299.5
170,922.27,930.05,-7.78,76,1301.9
171,-1307.31,-1259.21,-48.10,1000,1333.9
172,985.67,989.17,-3.49,33,1334.9
173,622.66,647.26,-24.61,276,1343.0
174,-1456.09,-1368.24,-87.85,1000,1373.0
175,512.48,535.87,-23.38,319,1382.7
176,991.39,992.86,-1.47,29,1383.7
177,951.29,957.40,-6.11,53,1385.4
178,872.82,878.58,-5.75,106,1388.9
179,342.25,395.64,-53.39,527,1405.3
180,953.52,965.84,-12.32,55,1407.0
181,-1404.57,-1368.75,-35.81,1000,1437.3
182,957.66,967.28,-9.62,99,1440.1
183,979.07,983.96,-4.89,40,1441.2
184,980.18,981.19,-1.01,37,1442.3
185,988.37,990.38,-2.01,35,1443.3
186,-1110.36,-1076.71,-33.65,472,1456.8
187,706.98,616.43,90.55,457,1469.9
188,760.29,753.76,6.53,212,1475.9
189,944.08,952.19,-8.11,58,1477.6
190,978.86,985.62,-6.76,55,1479.1
191,-1421.53,-1407.63,-13.90,1000,1509.0
192,991.84,992.69,-0.85,29,1509.9
193,984.96,987.37,-2.41,38,1511.0
194,995.19,995.87,-0.68,22,1511.7
195,-510.25,-509.50,-0.75,12,1512.1
196,-1491.34,-1448.35,-42.98,1000,1541.7
197,-1199.34,-1115.33,-84.01,1000,1571.6
198,-504.46,-503.86,-0.60,6,1571.7
199,992.91,993.23,-0.32,25,1572.4
200,-505.59,-505.32,-0.27,6,1572.6
201,263.68,226.86,36.82,585,1590.2
202,655.16,658.69,-3.52,274,1598.4
203,973.44,976.15,-2.71,74,1600.6
204,973.12,976.15,-3.03,67,1602.6
205,941.94,950.92,-8.97,66,1604.5
206,981.84,988.57,-6.73,24,1605.2
207,884.49,904.67,-20.18,165,1610.1
208,979.89,984.33,-4.45,40,1611.4
209,632.40,644.18,-11.78,343,1621.8
210,905.14,920.83,-15.68,116,1625.5
211,983.64,987.22,-3.59,36,1626.7
212,991.73,994.07,-2.34,20,1627.3
213,992.56,993.77,-1.21,23,1628.0
214,970.52,975.86,-5.34,54,1629.6
215,526.31,553.55,-27.24,379,1640.8
216,-504.99,-504.20,-0.80,7,1641.0
217,570.43,576.78,-6.35,359,1651.8
218,782.69,796.70,-14.01,246,1659.1
219,702.32,739.29,-36.98,272,1667.3
220,731.69,711.10,20.60,271,1675.3
221,-76.79,-179.26,102.47,926,1702.5
222,959.47,962.98,-3.50,50,1704.0
223,694.03,704.89,-10.86,216,1710.5
224,989.36,992.48,-3.12,26,1711.3
225,600.45,620.39,-19.94,310,1720.5
226,383.29,411.56,-28.27,440,1733.5
227,410.46,384.95,25.51,538,1749.7
228,926.65,926.71,-0.06,125,1753.5
229,600.49,534.47,66.02,399,1765.3
230,967.54,965.32,2.22,53,1766.9
231,171.17,197.10,-25.93,729,1788.6
232,987.42,990.53,-3.11,27,1789.4
233,924.27,923.51,0.75,85,1792.1
234,731.26,712.54,18.72,298,1801.0
235,995.78,988.96,6.82,60,1802.9
236,-835.99,-1043.99,208.00,1000,1832.4
237,-510.91,-509.72,-1.19,12,1832.8
238,-1016.15,-1144.21,128.06,1000,1862.6
239,437.85,463.85,-26.00,513,1877.7
240,577.95,602.74,-24.79,312,1887.0
241,954.74,958.98,-4.24,81,1889.4
242,990.42,990.56,-0.15,58,1891.2
243,919.23,923.21,-3.98,138,1895.3
244,-509.07,-508.89,-0.18,11,1895.6
245,990.14,990.02,0.11,37,1896.7
246,899.50,895.78,3.72,97,1899.6
247,924.53,927.21,-2.68,95,1902.6
248,957.54,962.69,-5.15,55,1904.1
249,989.68,991.57,-1.89,28,1905.0
250,953.24,959.22,-5.98,61,1906.7
251,990.36,992.88,-2.52,31,1907.6
252,987.57,991.44,-3.86,23,1908.3
253,929.18,940.73,-11.56,118,1911.8
254,-383.04,-702.95,319.90,1000,1941.6
255,-504.93,-504.37,-0.55,8,1941.8
256,982.48,985.88,-3.40,26,1942.5
257,886.46,897.02,-10.56,87,1945.0
258,-505.41,-505.05,-0.36,5,1945.2
259,956.69,967.93,-11.23,66,1947.1
260,984.76,987.50,-2.75,35,1948.1
261,991.01,992.80,-1.79,25,1948.9
262,966.99,976.34,-9.35,91,1951.6
263,976.82,982.35,-5.52,60,1953.4
264,994.66,995.39,-0.73,21,1954.0
265,989.14,990.99,-1.85,32,1954.9
266,992.95,992.56,0.38,30,1955.8
267,-504.60,-504.08,-0.52,7,1956.0
268,972.27,981.35,-9.08,33,1956.9
269,964.68,967.71,-3.03,86,1959.5
270,935.35,948.37,-13.02,153,1964.1
271,-505.69,-505.25,-0.43,11,1964.4
272,964.98,971.45,-6.47,64,1966.4
273,955.70,968.66,-12.96,119,1969.8
274,983.97,987.01,-3.04,25,1970.5
275,983.57,988.41,-4.84,30,1971.4
276,939.20,940.82,-1.62,109,1974.6
277,986.94,990.57,-3.63,30,1975.5
278,988.73,991.63,-2.90,26,1976.3
279,989.63,992.90,-3.28,23,1977.0
280,985.89,988.42,-2.53,20,1977.6
281,952.05,965.82,-13.77,105,1980.7
282,-505.11,-504.20,-0.90,6,1980.9
283,988.11,991.19,-3.08,28,1981.8
284,930.82,946.77,-15.95,136,1985.7
285,185.39,252.64,-67.25,626,2004.5
286,876.76,892.44,-15.69,106,2007.6
287,982.90,986.31,-3.41,54,2009.2
288,404.53,429.55,-25.03,500,2024.1
289,983.42,987.88,-4.46,57,2025.8
290,871.18,889.08,-17.90,150,2030.2
291,957.76,969.66,-11.90,84,2032.7
292,951.49,940.86,10.63,89,2035.3
293,768.18,782.29,-14.11,191,2041.0
294,989.62,991.75,-2.13,26,2041.8
295,972.76,978.59,-5.83,76,2044.1
296,985.74,989.34,-3.60,25,2044.8
297,977.59,983.89,-6.30,44,2046.1
298,937.15,947.05,-9.90,123,2049.8
299,954.21,962.74,-8.53,68,2051.8
300,985.90,988.13,-2.23,39,2053.0
301,994.57,995.40,-0.83,20,2053.6
302,979.89,982.69,-2.81,40,2054.8
303,828.38,842.31,-13.93,155,2059.4
304,986.33,989.56,-3.23,21,2060.0
305,-507.02,-505.96,-1.06,11,2060.3
306,964.18,973.09,-8.91,42,2061.6
307,965.22,975.76,-10.53,72,2063.8
308,-510.19,-509.79,-0.40,14,2064.2
309,-506.81,-506.68,-0.14,10,2064.4
310,977.36,981.25,-3.89,56,2066.1
311,972.11,976.28,-4.17,59,2067.9
312,975.13,980.39,-5.26,62,2069.8
313,986.00,989.55,-3.56,31,2070.8
314,978.65,982.66,-4.01,46,2072.2
315,985.85,989.11,-3.25,52,2073.7
316,972.23,979.34,-7.11,52,2075.3
317,981.04,985.59,-4.55,43,2076.6
318,-505.09,-504.28,-0.81,6,2076.8
319,992.42,993.89,-1.48,24,2077.6
320,979.28,983.30,-4.02,54,2079.1
321,986.39,988.46,-2.07,35,2080.1
322,979.12,984.00,-4.88,60,2081.9
323,992.13,994.07,-1.94,21,2082.5
324,995.11,994.91,0.20,24,2083.2
