episode,reward_total,reward_leader,reward_follower,timesteps,wall_time
143,976.40,984.43,-8.02,36,400.7
144,970.29,978.99,-8.71,51,402.2
145,937.06,961.45,-24.39,82,404.5
146,928.78,947.41,-18.63,60,406.2
147,928.69,947.87,-19.17,92,408.9
148,971.31,979.93,-8.62,35,410.0
149,958.66,969.51,-10.85,52,411.5
150,975.54,982.54,-7.00,34,412.5
151,936.75,955.95,-19.20,74,414.6
152,908.78,946.53,-37.76,99,417.4
153,955.06,973.51,-18.45,49,418.9
154,926.26,953.23,-26.96,92,421.6
155,954.71,969.89,-15.17,65,423.4
156,873.96,903.71,-29.75,133,427.4
157,966.83,978.37,-11.54,54,429.1
158,982.64,987.20,-4.56,43,430.4
159,974.74,983.61,-8.87,43,431.7
160,982.18,987.26,-5.08,33,432.7
161,950.78,965.77,-14.99,60,434.5
162,988.41,992.66,-4.26,18,434.9
163,951.45,967.82,-16.37,88,437.6
164,907.90,930.67,-22.76,93,440.3
165,921.06,953.60,-32.54,90,442.9
166,969.97,980.97,-11.00,40,444.0
167,984.13,988.74,-4.62,28,444.9
168,930.78,948.76,-17.97,87,447.5
169,980.26,987.53,-7.27,25,448.3
170,980.28,987.87,-7.59,23,449.0
171,964.87,977.00,-12.14,44,450.2
172,976.65,983.58,-6.94,42,451.5
173,945.03,965.52,-20.49,66,453.4
174,966.22,978.31,-12.08,37,454.5
175,964.89,977.51,-12.62,60,456.3
176,969.91,979.85,-9.94,43,457.7
177,972.39,981.91,-9.52,37,458.8
178,943.19,955.57,-12.38,67,460.7
179,965.03,974.46,-9.43,65,462.6
180,966.20,978.53,-12.33,39,463.7
181,977.60,985.01,-7.41,33,464.8
182,980.81,984.27,-3.46,46,466.2
183,960.61,974.23,-13.61,47,467.6
184,976.30,984.13,-7.83,34,468.6
185,941.32,956.46,-15.14,89,471.2
186,-510.88,-508.50,-2.38,10,471.6
187,966.70,977.53,-10.83,50,473.0
188,964.93,975.59,-10.66,55,474.6
189,964.10,975.78,-11.68,44,475.9
190,-508.39,-506.66,-1.73,11,476.2
191,963.96,974.90,-10.95,58,477.9
192,972.19,981.46,-9.28,49,479.3
193,974.46,982.14,-7.68,43,480.6
194,985.47,990.45,-4.98,26,481.4
195,957.07,972.19,-15.13,57,483.0
196,943.48,963.21,-19.73,59,484.7
197,967.09,978.61,-11.53,39,485.8
198,980.22,985.04,-4.81,27,486.5
199,-503.46,-503.09,-0.37,4,486.7
200,944.87,963.04,-18.16,65,488.6
201,969.91,978.63,-8.72,46,490.0
202,910.00,931.37,-21.37,78,492.3
203,962.74,971.27,-8.53,61,494.1
204,969.21,981.25,-12.04,44,495.3
205,967.57,975.75,-8.19,83,497.7
206,987.16,991.01,-3.85,25,498.5
207,937.57,953.21,-15.63,53,500.0
208,984.34,989.47,-5.13,26,500.8
209,954.15,970.06,-15.91,51,502.3
210,942.00,956.80,-14.80,50,503.8
211,972.90,983.36,-10.46,32,504.7
212,986.05,991.03,-4.98,22,505.4
213,978.42,986.39,-7.97,27,506.2
214,-509.76,-507.80,-1.96,9,506.5
215,-507.10,-506.23,-0.87,7,506.7
216,976.27,984.35,-8.08,36,507.7
217,945.67,964.60,-18.93,68,509.7
218,973.92,982.92,-9.00,37,510.8
219,967.71,976.03,-8.32,63,512.6
220,938.84,959.74,-20.90,70,514.6
221,979.53,986.27,-6.74,34,515.7
222,973.13,981.81,-8.68,40,516.8
223,978.86,986.29,-7.43,29,517.6
224,989.75,992.58,-2.83,24,518.3
225,-510.30,-508.13,-2.17,14,518.7
226,-526.40,-519.35,-7.04,29,519.6
227,986.10,990.76,-4.66,23,520.3
228,960.40,972.66,-12.25,61,522.1
229,972.26,980.22,-7.97,51,523.7
230,966.71,969.92,-3.22,52,525.2
231,976.80,983.63,-6.83,47,526.6
232,986.08,990.55,-4.47,24,527.2
233,981.16,986.30,-5.14,30,528.1
234,978.85,984.10,-5.25,33,529.1
235,968.52,977.08,-8.56,61,530.9
236,969.97,977.31,-7.34,38,532.0
237,971.47,981.05,-9.57,46,533.4
238,891.48,919.44,-27.96,153,538.0
239,964.55,972.41,-7.86,68,539.9
240,-582.24,-563.62,-18.62,120,543.6
241,-527.35,-521.46,-5.89,37,544.6
242,986.60,989.89,-3.29,35,545.7
243,923.47,941.96,-18.50,93,548.3
244,-508.30,-507.13,-1.17,8,548.6
245,982.96,986.88,-3.92,42,549.8
246,960.53,972.79,-12.26,55,551.5
247,975.28,983.68,-8.40,33,552.5
248,984.40,988.33,-3.94,39,553.6
249,990.37,992.71,-2.34,30,554.5
250,-505.65,-504.54,-1.11,6,554.7
251,-508.97,-507.48,-1.50,9,555.0
252,904.55,930.46,-25.91,75,557.2
253,977.72,983.68,-5.95,39,558.3
254,959.23,972.19,-12.96,74,560.5
255,986.97,991.00,-4.03,25,561.3
256,991.00,992.70,-1.70,28,562.1
257,-506.88,-505.96,-0.93,6,562.3
258,-503.30,-502.99,-0.30,4,562.4
259,986.69,991.56,-4.87,20,563.0
260,974.19,980.36,-6.17,55,564.6
261,-504.13,-503.75,-0.38,6,564.8
262,-587.80,-568.30,-19.50,124,568.4
263,-2129.10,-1651.96,-477.14,1000,597.8
264,989.82,992.33,-2.51,29,598.6
265,-535.78,-528.32,-7.47,48,600.0
266,-537.26,-532.02,-5.25,34,601.0
267,-505.67,-504.60,-1.08,7,601.2
268,-506.37,-505.35,-1.02,9,601.4
269,972.53,981.39,-8.86,47,602.8
270,976.75,981.75,-5.00,42,604.1
271,972.66,981.24,-8.58,49,605.6
272,952.42,964.08,-11.67,48,607.0
273,367.64,487.39,-119.75,485,621.2
274,987.43,990.96,-3.53,29,622.0
275,982.55,986.80,-4.25,44,623.3
276,828.59,856.56,-27.97,138,627.3
277,987.90,990.85,-2.95,33,628.3
278,988.26,991.31,-3.05,26,629.0
279,985.85,990.64,-4.79,27,629.8
280,987.65,991.37,-3.72,26,630.6
281,968.67,977.78,-9.12,54,632.2
282,984.30,987.77,-3.47,28,633.0
283,989.85,992.13,-2.28,29,633.9
284,955.58,966.80,-11.22,69,635.8
285,-552.62,-537.76,-14.87,61,637.6
286,975.77,982.13,-6.36,31,638.5
287,960.42,970.80,-10.38,61,640.3
288,965.85,974.31,-8.47,69,642.4
289,992.47,994.24,-1.77,24,643.1
290,940.29,960.74,-20.45,72,645.2
291,977.53,981.14,-3.61,40,646.4
292,918.00,932.51,-14.51,59,648.1
293,757.98,815.53,-57.56,233,655.0
294,952.30,965.17,-12.87,40,656.2
295,971.46,976.62,-5.15,71,658.2
296,990.40,992.49,-2.09,26,659.0
297,-517.69,-514.99,-2.70,22,659.6
298,925.29,935.99,-10.70,79,661.9
299,983.45,986.77,-3.32,42,663.1
300,990.26,992.14,-1.87,27,663.9
301,-510.52,-508.49,-2.02,10,664.2
302,958.69,971.46,-12.77,46,665.6
303,924.51,936.08,-11.56,105,668.7
304,993.54,994.92,-1.38,24,669.4
305,937.90,953.87,-15.98,57,671.1
306,-503.99,-503.29,-0.69,4,671.2
307,889.51,910.32,-20.81,96,674.1
308,832.19,853.45,-21.26,115,677.4
309,951.12,960.85,-9.72,51,678.9
310,962.52,971.22,-8.69,72,681.1
311,-530.87,-525.56,-5.31,37,682.2
312,884.71,900.55,-15.84,94,685.0
313,977.50,983.43,-5.93,45,686.3
314,986.01,989.10,-3.09,41,687.5
315,-503.46,-503.41,-0.05,6,687.7
316,969.48,977.56,-8.07,37,688.8
317,977.68,981.14,-3.46,41,690.0
318,994.89,994.53,0.36,26,690.8
319,-504.03,-503.53,-0.50,5,691.0
320,980.68,985.53,-4.84,38,692.1
321,983.06,986.89,-3.83,37,693.2
322,962.94,971.98,-9.04,69,695.3
323,991.98,994.00,-2.03,21,695.9
324,987.21,991.02,-3.81,24,696.6
325,892.69,908.82,-16.13,105,699.7
326,969.80,976.95,-7.15,64,701.6
327,969.57,974.00,-4.43,48,703.0
328,962.69,968.54,-5.84,46,704.3
329,981.88,987.10,-5.23,37,705.4
330,954.43,962.20,-7.77,62,707.1
331,979.36,983.76,-4.40,49,708.5
332,993.56,994.69,-1.13,22,709.2
333,973.55,983.05,-9.50,36,710.3
334,991.65,993.06,-1.42,27,711.1
335,973.87,979.86,-5.99,58,712.8
336,990.76,992.82,-2.07,25,713.5
337,934.65,950.26,-15.61,89,716.2
338,994.74,995.50,-0.76,22,716.8
339,988.21,990.65,-2.45,31,717.8
340,991.36,992.64,-1.28,28,718.6
341,984.15,986.65,-2.50,50,720.2
342,993.29,994.42,-1.13,22,720.8
343,980.12,985.81,-5.69,37,722.0
344,937.43,952.75,-15.32,46,723.3
345,991.09,993.31,-2.22,23,724.0
346,978.34,983.45,-5.11,49,725.4
347,988.12,990.55,-2.43,34,726.4
348,984.09,988.13,-4.04,39,727.5
349,969.45,975.92,-6.47,44,728.8
350,987.12,989.71,-2.59,39,729.9
351,971.38,976.74,-5.36,60,731.7
352,990.49,992.88,-2.40,23,732.3
353,991.06,992.97,-1.91,24,733.0
354,973.73,979.50,-5.76,63,734.7
355,964.93,972.01,-7.07,68,736.8
356,-506.01,-505.16,-0.85,9,737.0
357,985.53,988.58,-3.05,38,738.1
358,-510.45,-509.37,-1.08,15,738.5
359,976.48,982.64,-6.15,45,739.8
360,968.65,975.34,-6.70,55,741.4
361,-507.31,-506.68,-0.62,9,741.6
362,993.36,994.29,-0.93,25,742.3
363,984.78,988.26,-3.47,33,743.3
364,585.11,676.77,-91.66,194,748.9
365,-508.07,-507.00,-1.07,9,749.2
366,990.59,992.71,-2.12,27,750.0
367,960.94,965.53,-4.59,51,751.5
368,985.73,988.56,-2.83,45,752.8
369,971.51,976.98,-5.47,55,754.4
