episode,reward_total,reward_leader,reward_follower,timesteps,wall_time
141,967.87,974.03,-6.16,61,701.7
142,978.15,983.98,-5.83,39,702.7
143,988.34,991.49,-3.15,26,703.4
144,968.32,975.43,-7.11,63,705.0
145,972.70,979.68,-6.98,63,706.6
146,985.18,988.33,-3.16,33,707.5
147,977.86,981.56,-3.70,60,709.1
148,987.78,990.52,-2.74,30,709.9
149,965.68,970.37,-4.68,57,711.4
150,975.00,979.71,-4.71,40,712.4
151,969.63,977.06,-7.43,41,713.5
152,934.68,949.06,-14.38,202,718.8
153,979.37,985.04,-5.67,47,720.1
154,978.53,983.36,-4.83,53,721.5
155,981.04,986.27,-5.23,43,722.6
156,956.67,966.24,-9.57,72,724.4
157,924.29,935.11,-10.82,74,726.3
158,985.96,990.08,-4.12,31,727.1
159,988.81,992.20,-3.39,24,727.8
160,992.55,993.61,-1.05,25,728.4
161,933.22,942.95,-9.73,92,731.0
162,989.62,992.87,-3.26,22,731.5
163,964.01,970.40,-6.40,56,733.0
164,957.44,967.39,-9.95,58,734.5
165,983.97,988.01,-4.03,41,735.5
166,989.56,992.12,-2.56,25,736.2
167,993.24,993.03,0.20,32,737.1
168,979.10,984.41,-5.31,41,738.1
169,972.31,979.76,-7.46,36,739.1
170,994.02,994.97,-0.95,22,739.7
171,983.29,987.72,-4.43,35,740.6
172,940.28,957.22,-16.94,86,742.8
173,912.98,939.04,-26.07,150,746.8
174,975.53,980.12,-4.59,40,747.8
175,714.86,743.00,-28.13,233,754.0
176,988.50,991.15,-2.65,29,754.8
177,981.17,979.20,1.97,42,755.9
178,935.67,944.86,-9.19,71,757.8
179,849.69,889.99,-40.30,247,764.2
180,982.02,986.24,-4.22,40,765.2
181,989.99,992.51,-2.52,24,765.8
182,960.32,973.81,-13.49,53,767.2
183,998.20,995.34,2.87,32,768.0
184,979.53,985.22,-5.69,35,768.9
185,986.97,989.64,-2.67,38,769.8
186,954.32,965.19,-10.87,67,771.6
187,962.51,970.63,-8.11,73,773.5
188,976.85,982.44,-5.59,50,774.8
189,959.45,963.28,-3.83,67,776.5
190,991.67,993.13,-1.46,26,777.1
191,980.36,985.42,-5.06,41,778.2
192,982.09,987.03,-4.94,38,779.2
193,991.76,992.57,-0.81,32,780.1
194,993.07,994.24,-1.17,29,780.9
195,972.49,979.59,-7.10,51,782.2
196,977.67,983.17,-5.50,46,783.4
197,960.71,966.47,-5.76,49,784.7
198,988.97,990.75,-1.78,35,785.6
199,923.96,941.72,-17.76,184,790.5
200,980.43,983.26,-2.83,40,791.5
201,960.12,964.97,-4.85,55,792.9
202,950.07,956.18,-6.11,63,794.7
203,969.75,975.16,-5.41,59,796.2
204,986.27,989.36,-3.09,36,797.1
205,986.72,990.01,-3.29,33,797.9
206,994.19,994.64,-0.44,24,798.5
